,Age,Category,Sex,calcium,chromium,copper,fluoride,iodine,iron,magnesium,manganese,molybdenum,phosphorus,selenium,zinc,potassium,sodium,chloride,a,c,d,e,k,thiamin,riboflavin,niacin,b6,folate,b12,pantothenate,biotin,choline,water,carbohydrate,fibre,fat,linoleic,alpha_linolenic,protein
1,0.0,Infants,both,200,0.2,200,0.01,110,0.27,30,0.003,2,100,15,2,400,110,0.18,400,40,10,4,2.0,0.2,0.3,2,0.1,65,0.4,1.7,5,125,0.7,60,,31,4.4,0.5,9.1
2,0.5,Infants,both,260,5.5,220,0.5,130,11,75,0.6,3,275,20,3,860,370,0.57,500,50,10,5,2.5,0.3,0.4,4,0.3,80,0.5,1.8,6,150,0.8,95,,30,4.6,0.5,11.0
4,1.0,Children,both,700,11,340,0.7,90,7,80,1.2,17,460,20,3,"2,000",800,1.5,300,15,15,6,30,0.5,0.5,6,0.5,150,0.9,2,8,200,1.3,130,19,,7,0.7,13
5,4.0,Children,both,1000,15,440,1,90,10,130,1.5,22,500,30,5,"2,300","1,000",1.9,400,25,15,7,55,0.6,0.6,8,0.6,200,1.2,3,12,250,1.7,130,25,,10,0.9,19
7,9.0,Males,male,1300,25,700,2,120,8,240,1.9,34,1250,40,8,"2,500","1,200",2.3,600,45,15,11,60,0.9,0.9,12,1.0,300,1.8,4,20,375,2.4,130,31,,12,1.2,34
8,14.0,Males,male,1300,35,890,3,150,11,410,2.2,43,1250,55,11,"3,000","1,500",2.3,900,75,15,15,75,1.2,1.3,16,1.3,400,2.4,5,25,550,3.3,130,38,,16,1.6,52
9,19.0,Males,male,1000,35,900,4,150,8,400,2.3,45,700,55,11,"3,400","1,500",2.3,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,5,30,550,3.7,130,38,,17,1.6,56
10,31.0,Males,male,1000,35,900,4,150,8,420,2.3,45,700,55,11,"3,400","1,500",2.3,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,5,30,550,3.7,130,38,,17,1.6,56
11,51.0,Males,male,1000,30,900,4,150,8,420,2.3,45,700,55,11,"3,400","1,500",2.0,900,90,15,15,120,1.2,1.3,16,1.7,400,2.4,5,30,550,3.7,130,30,,14,1.6,56
12,70.0,Males,male,1200,30,900,4,150,8,420,2.3,45,700,55,11,"3,400","1,500",1.8,900,90,20,15,120,1.2,1.3,16,1.7,400,2.4,5,30,550,3.7,130,30,,14,1.6,56
14,9.0,Females,female,1300,21,700,2,120,8,240,1.6,34,1250,40,8,"2,300","1,200",2.3,600,45,15,11,60,0.9,0.9,12,1.0,300,1.8,4,20,375,2.1,130,26,,10,1.0,34
15,14.0,Females,female,1300,24,890,3,150,15,360,1.6,43,1250,55,9,"2,300","1,500",2.3,700,65,15,15,75,1.0,1.0,14,1.2,400,2.4,5,25,400,2.3,130,26,,11,1.1,46
16,19.0,Females,female,1000,25,900,3,150,18,310,1.8,45,700,55,8,"2,600","1,500",2.3,700,75,15,15,90,1.1,1.1,14,1.3,400,2.4,5,30,425,2.7,130,25,,12,1.1,46
17,31.0,Females,female,1000,25,900,3,150,18,320,1.8,45,700,55,8,"2,600","1,500",2.3,700,75,15,15,90,1.1,1.1,14,1.3,400,2.4,5,30,425,2.7,130,25,,12,1.1,46
18,51.0,Females,female,1200,20,900,3,150,8,320,1.8,45,700,55,8,"2,600","1,500",2.0,700,75,15,15,90,1.1,1.1,14,1.5,400,2.4,5,30,425,2.7,130,21,,11,1.1,46
19,70.0,Females,female,1200,20,900,3,150,8,320,1.8,45,700,55,8,"2,600","1,500",1.8,700,75,20,15,90,1.1,1.1,14,1.5,400,2.4,5,30,425,2.7,130,21,,11,1.1,46
21,14.0,Pregnancy,female,1300,29,1000,3,220,27,400,2.0,50,1250,60,12,"2,600","1,500",2.3,750,80,15,15,75,1.4,1.4,18,1.9,600,2.6,6,30,450,3.0,175,28,,13,1.4,71
22,19.0,Pregnancy,female,1000,30,1000,3,220,27,350,2.0,50,700,60,11,"2,900","1,500",2.3,770,85,15,15,90,1.4,1.4,18,1.9,600,2.6,6,30,450,3.0,175,28,,13,1.4,71
23,31.0,Pregnancy,female,1000,30,1000,3,220,27,360,2.0,50,700,60,11,"2,900","1,500",2.3,770,85,15,15,90,1.4,1.4,18,1.9,600,2.6,6,30,450,3.0,175,28,,13,1.4,71
25,14.0,Lactation,female,1300,44,1300,3,290,10,360,2.6,50,1250,70,13,"2,500","1,500",2.3,1200,115,15,19,75,1.4,1.6,17,2.0,500,2.8,7,35,550,3.8,210,29,,13,1.3,71
26,19.0,Lactation,female,1000,45,1300,3,290,9,310,2.6,50,700,70,12,"2,800","1,500",2.3,1300,120,15,19,90,1.4,1.6,17,2.0,500,2.8,7,35,550,3.8,210,29,,13,1.3,71
27,31.0,Lactation,female,1000,45,1300,3,290,9,320,2.6,50,700,70,12,"2,800","1,500",2.3,1300,120,15,19,90,1.4,1.6,17,2.0,500,2.8,7,35,550,3.8,210,29,,13,1.3,71
